2025-06-25 17:44:28,900 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-06-25 17:44:29,073 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-06-25 17:44:29,075 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-06-25 17:44:29,075 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-06-25 17:44:29,089 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-06-25 17:44:29,090 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-06-25 17:44:29,092 INFO  SwAddin.cs: 201 - Setting up command manager
2025-06-25 17:44:29,093 INFO  SwAddin.cs: 204 - Adding command manager
2025-06-25 17:44:29,130 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-06-25 17:44:29,132 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-06-25 17:44:29,132 INFO  SwAddin.cs: 210 - Adding event handlers
2025-06-25 17:44:29,304 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-06-25 17:50:54,157 INFO  SwAddin.cs: 294 - Assembly export called for file 6AR-000-000.SLDASM
2025-06-25 17:50:54,159 INFO  SwAddin.cs: 299 - Save is required
2025-06-25 17:50:54,159 INFO  SwAddin.cs: 313 - Saving assembly
2025-06-25 17:50:57,396 INFO  SwAddin.cs: 316 - Opening property manager
2025-06-25 17:50:57,432 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 6AR-000-000.SLDASM
2025-06-25 17:50:57,440 INFO  ExportHelperExtension.cs: 1136 - Found 67 in 6AR-000-000.SLDASM
2025-06-25 17:50:57,441 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 6AR-000-000.SLDASM
2025-06-25 17:50:57,442 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-06-25 17:50:57,442 INFO  ExportHelperExtension.cs: 1160 - 12 components to check
2025-06-25 17:50:57,443 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 6AR-000-000.SLDASM
2025-06-25 17:50:57,444 INFO  ExportHelperExtension.cs: 1136 - Found 67 in 6AR-000-000.SLDASM
2025-06-25 17:50:57,444 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 6AR-000-000.SLDASM
2025-06-25 17:50:57,444 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-06-25 17:50:57,445 INFO  ExportHelperExtension.cs: 1160 - 12 components to check
2025-06-25 17:50:58,823 INFO  SwAddin.cs: 339 - Loading config tree
2025-06-25 17:50:58,827 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2025-06-25 17:50:58,829 INFO  SwAddin.cs: 344 - Showing property manager
2025-06-25 17:52:12,384 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-06-25 17:58:57,567 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-06-25 17:58:59,686 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-06-25 17:59:06,413 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-06-25 17:59:13,406 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-06-25 17:59:19,689 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-06-25 17:59:27,175 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-06-25 17:59:32,729 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-06-25 17:59:43,535 INFO  ExportPropertyManager.cs: 422 - Configuration saved
